"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange"
"A","Agilent Technologies, Inc.",39.54,"$12.96B",1999,"Capital Goods","Biotechnology: Laboratory Analytical Instruments","NYSE"
"AA","Alcoa Inc.",9.37,"$12.32B",NA,"Capital Goods","Metal Fabrications","NYSE"
"AA-PB","Alcoa Inc.",32.55,NA,NA,NA,NA,"NYSE"
"AAC","AAC Holdings, Inc.",18.69,"$429.6M",2014,"Health Care","Medical Specialities","NYSE"
"AAN","Aaron&#39;s,  Inc.",26.34,"$1.91B",NA,"Technology","Diversified Commercial Services","NYSE"
"AAP","Advance Auto Parts Inc",156.11,"$11.45B",NA,"Consumer Services","Other Specialty Stores","NYSE"
"AAT","American Assets Trust, Inc.",38.65,"$1.75B",2011,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AAV","Advantage Oil & Gas Ltd",5.23,"$964.42M",NA,"Energy","Oil & Gas Production","NYSE"
"AB","AllianceBernstein Holding L.P.",23.56,"$2.35B",NA,"Finance","Investment Managers","NYSE"
"ABB","ABB Ltd",19.37,"$42.45B",NA,"Consumer Durables","Electrical Products","NYSE"
"ABBV","AbbVie Inc.",58.47,"$94.21B",2012,"Health Care","Major Pharmaceuticals","NYSE"
"ABC","AmerisourceBergen Corporation (Holding Co)",85.31,"$17.53B",NA,"Health Care","Other Pharmaceuticals","NYSE"
"ABEV","Ambev S.A.",5.1,"$78.02B",2013,"Consumer Non-Durables","Beverages (Production/Distribution)","NYSE"
"ABG","Asbury Automotive Group Inc",53.93,"$1.33B",2002,"Consumer Durables","Automotive Aftermarket","NYSE"
"ABM","ABM Industries Incorporated",32.07,"$1.8B",NA,"Finance","Diversified Commercial Services","NYSE"
"ABR","Arbor Realty Trust",6.68,"$340.43M",2004,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ABR-PA","Arbor Realty Trust",24.1769,NA,NA,NA,NA,"NYSE"
"ABR-PB","Arbor Realty Trust",22.12,NA,NA,NA,NA,"NYSE"
"ABR-PC","Arbor Realty Trust",24.3,NA,NA,NA,NA,"NYSE"
"ABRN","Arbor Realty Trust",24.9626,NA,2014,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ABT","Abbott Laboratories",42.37,"$62.42B",NA,"Health Care","Major Pharmaceuticals","NYSE"
"ABX","Barrick Gold Corporation",15.18,"$17.69B",NA,"Basic Industries","Precious Metals","NYSE"
"AC","Associated Capital Group, Inc.",28.75,"$708.27M",2015,"Finance","Investment Bankers/Brokers/Service","NYSE"
"ACC","American Campus Communities Inc",46.64,"$6.08B",2004,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ACCO","Acco Brands Corporation",8.63,"$911.83M",NA,"Consumer Durables","Publishing","NYSE"
"ACG","ALLIANCEBERNSTEIN INCOME FUND INC",7.9,"$1.92B",NA,NA,NA,"NYSE"
"ACH","Aluminum Corporation of China Limited",8.21,"$4.89B",2001,"Basic Industries","Aluminum","NYSE"
"ACM","AECOM",29.56,"$4.51B",2007,"Consumer Services","Military/Government/Technical","NYSE"
"ACN","Accenture plc",112.83,"$72.96B",2001,"Miscellaneous","Business Services","NYSE"
"ACP","Avenue Income Credit Strategies Fund",10.8,"$141.2M",2011,NA,NA,"NYSE"
"ACRE","Ares Commercial Real Estate Corporation",11.54,"$330.16M",2012,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ACV","AllianzGI Diversified Income & Convertible Fund",17.47,NA,2015,NA,NA,"NYSE"
"ACW","Accuride Corporation New",1.36,"$65.23M",NA,"Capital Goods","Auto Parts:O.E.M.","NYSE"
"ADC","Agree Realty Corporation",38.69,"$800.9M",NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ADM","Archer-Daniels-Midland Company",36.09,"$21.43B",NA,"Consumer Non-Durables","Packaged Foods","NYSE"
"ADPT","Adeptus Health Inc.",56.28,"$1.17B",2014,"Health Care","Hospital/Nursing Management","NYSE"
"ADS","Alliance Data Systems Corporation",215.27,"$12.76B",2001,"Miscellaneous","Business Services","NYSE"
"ADT","ADT Corporation",41.44,"$6.85B",NA,"Consumer Services","Diversified Commercial Services","NYSE"
"ADX","Adams Diversified Equity Fund, Inc.",12.61,"$1.17B",NA,NA,NA,"NYSE"
"AEB","Aegon NV",22.46,NA,NA,"Finance","Life Insurance","NYSE"
"AED","Aegon NV",26.12,NA,NA,"Finance","Life Insurance","NYSE"
"AEE","Ameren Corporation",48.78,"$11.84B",NA,"Public Utilities","Power Generation","NYSE"
"AEG","Aegon NV",5.39,"$14.42B",NA,"Finance","Life Insurance","NYSE"
"AEH","Aegon NV",25.4,NA,NA,"Finance","Life Insurance","NYSE"
"AEK","Aegon NV",27.19,NA,NA,"Finance","Life Insurance","NYSE"
"AEL","American Equity Investment Life Holding Company",13.01,"$1.07B",2003,"Finance","Life Insurance","NYSE"
"AEM","Agnico Eagle Mines Limited",38.47,"$8.5B",NA,"Basic Industries","Precious Metals","NYSE"
"AEO","American Eagle Outfitters, Inc.",15.17,"$2.74B",NA,"Consumer Services","Clothing/Shoe/Accessory Stores","NYSE"
"AEP","American Electric Power Company, Inc.",66.01,"$32.41B",NA,"Public Utilities","Electric Utilities: Central","NYSE"
"AER","Aercap Holdings N.V.",37.88,"$7.59B",2006,"Technology","Diversified Commercial Services","NYSE"
"AES","The AES Corporation",10.96,"$7.23B",NA,"Basic Industries","Electric Utilities: Central","NYSE"
"AES-PC","The AES Corporation",50.61,NA,NA,"Basic Industries","Electric Utilities: Central","NYSE"
"AET","Aetna Inc.",108.87,"$38.06B",NA,"Health Care","Medical Specialities","NYSE"
"AEUA","Anadarko Petroleum Corporation",33.25,NA,2015,"Energy","Oil & Gas Production","NYSE"
"AF","Astoria Financial Corporation",14.85,"$1.51B",NA,"Finance","Savings Institutions","NYSE"
"AF-PC","Astoria Financial Corporation",26,NA,NA,NA,NA,"NYSE"
"AFA","American Financial Group, Inc.",25.6446,NA,2012,"Finance","Property-Casualty Insurers","NYSE"
"AFB","Alliance National Municipal Income Fund Inc",14.61,"$419.85M",2002,NA,NA,"NYSE"
"AFC","Ares Capital Corporation",25.36,"$202.88M",NA,NA,NA,"NYSE"
"AFG","American Financial Group, Inc.",67.29,"$5.83B",NA,"Finance","Property-Casualty Insurers","NYSE"
"AFGE","American Financial Group, Inc.",26.43,NA,2014,"Finance","Property-Casualty Insurers","NYSE"
"AFGH","American Financial Group, Inc.",25.5,NA,2015,"Finance","Property-Casualty Insurers","NYSE"
"AFI","Armstrong Flooring, Inc.",13.81,"$383.07M",2016,"Consumer Non-Durables","Plastic Products","NYSE"
"AFL","Aflac Incorporated",63.91,"$26.84B",NA,"Finance","Accident &Health Insurance","NYSE"
"AFSD","Aflac Incorporated",25.81,NA,NA,"Finance","Accident &Health Insurance","NYSE"
"AFSI-PA","AmTrust Financial Services, Inc.",24.5,NA,NA,NA,NA,"NYSE"
"AFSI-PB","AmTrust Financial Services, Inc.",25.42,NA,NA,NA,NA,"NYSE"
"AFSI-PC","AmTrust Financial Services, Inc.",25.44,NA,NA,NA,NA,"NYSE"
"AFSI-PD","AmTrust Financial Services, Inc.",25.37,NA,NA,NA,NA,"NYSE"
"AFSI-PE","AmTrust Financial Services, Inc.",25.52,NA,NA,NA,NA,"NYSE"
"AFSS","AmTrust Financial Services, Inc.",24.57,NA,2015,"Finance","Property-Casualty Insurers","NYSE"
"AFST","AmTrust Financial Services, Inc.",24.84,NA,2015,"Finance","Property-Casualty Insurers","NYSE"
"AFT","Apollo Senior Floating Rate Fund Inc.",15.21,"$236.87M",2011,NA,NA,"NYSE"
"AFW","American Financial Group, Inc.",26.07,NA,NA,"Finance","Property-Casualty Insurers","NYSE"
"AG","First Majestic Silver Corp.",6.87,"$1.07B",NA,"Basic Industries","Precious Metals","NYSE"
"AGC","Advent Claymore Convertible Securities and Income Fund II",5.41,"$174.42M",2007,NA,NA,"NYSE"
"AGCO","AGCO Corporation",48.63,"$4.01B",NA,"Capital Goods","Industrial Machinery/Components","NYSE"
"AGD","Alpine Global Dynamic Dividend Fund",8.38,"$105.61M",2006,NA,NA,"NYSE"
"AGI","Alamos Gold Inc.",6.17,"$1.62B",2015,"Basic Industries","Precious Metals","NYSE"
"AGM","Federal Agricultural Mortgage Corporation",37.42,"$388.44M",NA,"Finance","Finance Companies","NYSE"
"AGM-PA","Federal Agricultural Mortgage Corporation",26.2199,NA,NA,NA,NA,"NYSE"
"AGM-PB","Federal Agricultural Mortgage Corporation",26.4999,NA,NA,NA,NA,"NYSE"
"AGM-PC","Federal Agricultural Mortgage Corporation",26.7501,NA,NA,NA,NA,"NYSE"
"AGM.A","Federal Agricultural Mortgage Corporation",NA,NA,NA,NA,NA,"NYSE"
"AGN","Allergan plc.",236,"$93.15B",2013,"Health Care","Major Pharmaceuticals","NYSE"
"AGN-PA","Allergan plc.",855,NA,NA,NA,NA,"NYSE"
"AGO","Assured Guaranty Ltd.",24.01,"$3.26B",2004,"Finance","Property-Casualty Insurers","NYSE"
"AGO-PB","Assured Guaranty Ltd.",25.9999,NA,NA,NA,NA,"NYSE"
"AGO-PE","Assured Guaranty Ltd.",25.4974,NA,NA,NA,NA,"NYSE"
"AGO-PF","Assured Guaranty Ltd.",25.03,NA,NA,NA,NA,"NYSE"
"AGR","Avangrid, Inc.",38.92,"$12.02B",2015,"Public Utilities","Electric Utilities: Central","NYSE"
"AGRO","Adecoagro S.A.",11.03,"$1.34B",2011,"Consumer Non-Durables","Farming/Seeds/Milling","NYSE"
"AGU","Agrium Inc.",87.61,"$12.1B",NA,"Basic Industries","Agricultural Chemicals","NYSE"
"AGX","Argan, Inc.",33.27,"$493.28M",NA,"Basic Industries","Engineering & Construction","NYSE"
"AHC","A.H. Belo Corporation",4.84,"$104.03M",NA,"Consumer Services","Newspapers/Magazines","NYSE"
"AHH","Armada Hoffler Properties, Inc.",11.3,"$339.86M",2013,"Finance","Real Estate","NYSE"
"AHL","Aspen Insurance Holdings Limited",45.75,"$2.79B",2003,"Finance","Property-Casualty Insurers","NYSE"
"AHL-PA","Aspen Insurance Holdings Limited",24.45,NA,NA,NA,NA,"NYSE"
"AHL-PB","Aspen Insurance Holdings Limited",26.26,NA,NA,NA,NA,"NYSE"
"AHL-PC","Aspen Insurance Holdings Limited",26,NA,NA,NA,NA,"NYSE"
"AHP","Ashford Hospitality Prime, Inc.",11.04,"$314.33M",2013,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AHS","AMN Healthcare Services Inc",34.6,"$1.65B",2001,"Technology","Professional Services","NYSE"
"AHT","Ashford Hospitality Trust Inc",5.5,"$525.09M",2003,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AHT-PA","Ashford Hospitality Trust Inc",24.69,NA,NA,NA,NA,"NYSE"
"AHT-PD","Ashford Hospitality Trust Inc",24.99,NA,NA,NA,NA,"NYSE"
"AHT-PE","Ashford Hospitality Trust Inc",24.65,NA,NA,NA,NA,"NYSE"
"AI","Arlington Asset Investment Corp",12.19,"$280.09M",NA,"Finance","Finance/Investors Services","NYSE"
"AIB","Apollo Investment Corporation",25.15,NA,NA,NA,NA,"NYSE"
"AIC","Arlington Asset Investment Corp",19.0895,NA,2015,"Finance","Finance/Investors Services","NYSE"
"AIF","Apollo Tactical Income Fund Inc.",13.71,"$198.3M",2013,NA,NA,"NYSE"
"AIG","American International Group, Inc.",53.16,"$61.1B",NA,"Finance","Property-Casualty Insurers","NYSE"
"AIG.WS","American International Group, Inc.",NA,NA,NA,NA,NA,"NYSE"
"AIN","Albany International Corporation",37.63,"$1.2B",NA,"Basic Industries","Textiles","NYSE"
"AIR","AAR Corp.",23.44,"$814.5M",NA,"Capital Goods","Aerospace","NYSE"
"AIT","Applied Industrial Technologies, Inc.",43.51,"$1.71B",NA,"Consumer Durables","Industrial Specialties","NYSE"
"AIV","Apartment Investment and Management Company",42.19,"$6.61B",1994,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AIV-PA","Apartment Investment and Management Company",27.3,NA,NA,NA,NA,"NYSE"
"AIV-PZ","Apartment Investment and Management Company",25.39,NA,NA,NA,NA,"NYSE"
"AIW","Arlington Asset Investment Corp",19.1834,NA,NA,"Finance","Finance/Investors Services","NYSE"
"AIY","Apollo Investment Corporation",25.344,NA,2013,NA,NA,"NYSE"
"AIZ","Assurant, Inc.",77.91,"$5.05B",2004,"Finance","Accident &Health Insurance","NYSE"
"AJG","Arthur J. Gallagher & Co.",43.59,"$7.72B",NA,"Finance","Specialty Insurers","NYSE"
"AJRD","Aerojet Rocketdyne Holdings, Inc. ",15.78,"$1.02B",NA,"Capital Goods","Military/Government/Technical","NYSE"
"AJX","Great Ajax Corp.",11.95,"$190.51M",2015,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AKO.A","Embotelladora Andina S.A.",NA,NA,NA,NA,NA,"NYSE"
"AKO.B","Embotelladora Andina S.A.",NA,NA,NA,NA,NA,"NYSE"
"AKP","Alliance California Municipal Income Fund Inc",14.905,"$127.49M",2002,NA,NA,"NYSE"
"AKR","Acadia Realty Trust",34.26,"$2.41B",NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AKS","AK Steel Holding Corporation",4.1,"$731.21M",NA,"Basic Industries","Steel/Iron Ore","NYSE"
"AL","Air Lease Corporation",30.72,"$3.15B",2011,"Technology","Diversified Commercial Services","NYSE"
"ALB","Albemarle Corporation",64.85,"$7.28B",NA,"Basic Industries","Major Chemicals","NYSE"
"ALDW","Alon USA Partners, LP",11.9,"$743.87M",2012,"Energy","Integrated oil Companies","NYSE"
"ALE","Allete, Inc.",54.62,"$2.68B",NA,"Public Utilities","Power Generation","NYSE"
"ALEX","Alexander & Baldwin Holdings, Inc.",36.35,"$1.78B",NA,"Finance","Real Estate","NYSE"
"ALG","Alamo Group, Inc.",54.74,"$625.67M",NA,"Capital Goods","Industrial Machinery/Components","NYSE"
"ALJ","Alon USA Energy, Inc.",10.42,"$740.62M",2005,"Energy","Integrated oil Companies","NYSE"
"ALK","Alaska Air Group, Inc.",79.08,"$9.86B",NA,"Transportation","Air Freight/Delivery Services","NYSE"
"ALL","Allstate Corporation (The)",66.84,"$25.29B",NA,"Finance","Property-Casualty Insurers","NYSE"
"ALL-PA","Allstate Corporation (The)",26.03,NA,NA,NA,NA,"NYSE"
"ALL-PB","Allstate Corporation (The)",25.92,NA,NA,NA,NA,"NYSE"
"ALL-PC","Allstate Corporation (The)",27.53,NA,NA,NA,NA,"NYSE"
"ALL-PD","Allstate Corporation (The)",27.37,NA,NA,NA,NA,"NYSE"
"ALL-PE","Allstate Corporation (The)",27.32,NA,NA,NA,NA,"NYSE"
"ALL-PF","Allstate Corporation (The)",26.92,NA,NA,NA,NA,"NYSE"
"ALLE","Allegion plc",64.06,"$6.16B",2013,"Consumer Services","Diversified Commercial Services","NYSE"
"ALLY","Ally Financial Inc.",16.96,"$8.19B",2014,"Finance","Finance: Consumer Services","NYSE"
"ALLY-PA","Ally Financial Inc.",24.02,NA,NA,NA,NA,"NYSE"
"ALLY-PB","Ally Financial Inc.",25.52,NA,NA,NA,NA,"NYSE"
"ALP-PO","Alabama Power Company",29.01,NA,NA,"Public Utilities","Electric Utilities: Central","NYSE"
"ALR","Alere Inc.",50.28,"$4.34B",NA,"Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","NYSE"
"ALR-PB","Alere Inc.",370.06,NA,NA,NA,NA,"NYSE"
"ALSN","Allison Transmission Holdings, Inc.",26.19,"$4.48B",2012,"Capital Goods","Auto Parts:O.E.M.","NYSE"
"ALV","Autoliv, Inc.",111.56,"$9.83B",NA,"Capital Goods","Auto Parts:O.E.M.","NYSE"
"ALX","Alexander&#39;s, Inc.",377.38,"$1.93B",NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AM","Antero Midstream Partners LP",21,"$3.7B",2014,"Public Utilities","Natural Gas Distribution","NYSE"
"AMBR","Amber Road, Inc.",5.18,"$136.37M",2014,"Technology","Computer Software: Prepackaged Software","NYSE"
"AMC","AMC Entertainment Holdings, Inc.",27.36,"$2.67B",2013,"Consumer Services","Movies/Entertainment","NYSE"
"AME","AMTEK, Inc.",49.53,"$11.67B",NA,"Consumer Durables","Metal Fabrications","NYSE"
"AMFW","Amec Plc Ord",6.1,"$2.4B",2014,"Consumer Services","Military/Government/Technical","NYSE"
"AMG","Affiliated Managers Group, Inc.",157.28,"$8.49B",NA,"Finance","Investment Managers","NYSE"
"AMH","American Homes 4 Rent",15.67,"$3.24B",2013,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AMH-PA","American Homes 4 Rent",26.5,NA,NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AMH-PB","American Homes 4 Rent",26.7,NA,NA,NA,NA,"NYSE"
"AMH-PC","American Homes 4 Rent",26.49,NA,NA,NA,NA,"NYSE"
"AMID","American Midstream Partners, LP",6.53,"$201.71M",2011,"Public Utilities","Natural Gas Distribution","NYSE"
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.",91.3,"$15.43B",NA,"Finance","Investment Managers","NYSE"
"AMRC","Ameresco, Inc.",4.1,"$191.75M",2010,"Basic Industries","Engineering & Construction","NYSE"
"AMT","American Tower Corporation (REIT)",105.71,"$44.81B",NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AMT-PA","American Tower Corporation (REIT)",107.4999,NA,NA,NA,NA,"NYSE"
"AMT-PB","American Tower Corporation (REIT)",104.78,NA,NA,NA,NA,"NYSE"
"AMTG","Apollo Residential Mortgage, Inc.",13.31,"$423.96M",2011,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AMTG-PA","Apollo Residential Mortgage, Inc.",22.95,NA,NA,NA,NA,"NYSE"
"AMX","America Movil, S.A.B. de C.V.",15.15,"$50.15B",NA,"Public Utilities","Telecommunications Equipment","NYSE"
"AN","AutoNation, Inc.",44.65,"$4.79B",NA,"Consumer Durables","Automotive Aftermarket","NYSE"
"ANET","Arista Networks, Inc.",65.01,"$4.44B",2014,"Technology","Computer Communications Equipment","NYSE"
"ANF","Abercrombie & Fitch Company",28.6,"$1.93B",NA,"Consumer Services","Clothing/Shoe/Accessory Stores","NYSE"
"ANFI","Amira Nature Foods Ltd",10.8,"$394.28M",2012,"Consumer Non-Durables","Packaged Foods","NYSE"
"ANH","Anworth Mortgage Asset  Corporation",4.6,"$448.66M",NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ANH-PA","Anworth Mortgage Asset  Corporation",25.05,NA,NA,NA,NA,"NYSE"
"ANH-PB","Anworth Mortgage Asset  Corporation",22.21,NA,NA,NA,NA,"NYSE"
"ANH-PC","Anworth Mortgage Asset  Corporation",23.55,NA,NA,NA,NA,"NYSE"
"ANTM","Anthem, Inc.",143.74,"$37.57B",NA,"Health Care","Medical Specialities","NYSE"
"ANTX","Anthem, Inc.",47.83,"$12.5B",2015,"Health Care","Medical Specialities","NYSE"
"ANW","Aegean Marine Petroleum Network Inc.",7.44,"$359.14M",2006,"Energy","Oil Refining/Marketing","NYSE"
"AOD","Alpine Total Dynamic Dividend Fund",7.3,"$793.82M",2007,NA,NA,"NYSE"
"AOI","Alliance One International, Inc.",20.08,"$194.14M",NA,"Consumer Services","Farming/Seeds/Milling","NYSE"
"AON","Aon plc",101.31,"$27.36B",NA,"Finance","Specialty Insurers","NYSE"
"AOS","Smith (A.O.) Corporation",77.08,"$6.77B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AP","Ampco-Pittsburgh Corporation",15.24,"$186.18M",NA,"Capital Goods","Fluid Controls","NYSE"
"APA","Apache Corporation",50.66,"$19.16B",NA,"Energy","Oil & Gas Production","NYSE"
"APAM","Artisan Partners Asset Management Inc.",29.82,"$2.22B",2013,"Finance","Investment Managers","NYSE"
"APB","Asia Pacific Fund, Inc. (The)",9.56,"$98.89M",NA,NA,NA,"NYSE"
"APC","Anadarko Petroleum Corporation",48.29,"$24.55B",NA,"Energy","Oil & Gas Production","NYSE"
"APD","Air Products and Chemicals, Inc.",142.52,"$30.73B",NA,"Basic Industries","Major Chemicals","NYSE"
"APF","Morgan Stanley Asia-Pacific Fund, Inc.",13.4503,"$188.43M",NA,NA,NA,"NYSE"
"APH","Amphenol Corporation",58.37,"$17.98B",NA,"Capital Goods","Electrical Products","NYSE"
"APLE","Apple Hospitality REIT, Inc.",18.95,"$3.3B",2015,"Consumer Services","Real Estate Investment Trusts","NYSE"
"APO","Apollo Global Management, LLC",15.83,"$6.33B",2011,"Finance","Investment Managers","NYSE"
"APTS","Preferred Apartment Communities, Inc.",12.55,"$289.01M",2011,"Consumer Services","Real Estate Investment Trusts","NYSE"
"APU","AmeriGas Partners, L.P.",43.35,"$4.03B",NA,"Consumer Services","Other Specialty Stores","NYSE"
"AR","Antero Resources Corporation",25.45,"$7.05B",2013,"Energy","Oil & Gas Production","NYSE"
"ARC","ARC Document Solutions, Inc.",3.97,"$186.71M",2004,"Consumer Services","Professional Services","NYSE"
"ARCO","Arcos Dorados Holdings Inc.",3.54,"$745.31M",2011,"Consumer Services","Restaurants","NYSE"
"ARCX","Arc Logistic Partners LP",10.11,"$194.67M",2013,"Energy","Oil Refining/Marketing","NYSE"
"ARDC","Ares Dynamic Credit Allocation Fund, Inc.",13.34,"$228.99M",2012,NA,NA,"NYSE"
"ARE","Alexandria Real Estate Equities, Inc.",90.97,"$6.68B",NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ARE-PD","Alexandria Real Estate Equities, Inc.",29.48,NA,NA,NA,NA,"NYSE"
"ARE-PE","Alexandria Real Estate Equities, Inc.",25.72,NA,NA,NA,NA,"NYSE"
"ARES","Ares Management L.P.",14.66,"$3.12B",2014,"Finance","Investment Managers","NYSE"
"ARG","Airgas, Inc.",142.05,"$10.29B",NA,"Capital Goods","Industrial Machinery/Components","NYSE"
"ARH-PC","Arch Capital Group Ltd.",26.11,NA,NA,NA,NA,"NYSE"
"ARI","Apollo Commercial Real Estate Finance",15.84,"$1.07B",2009,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ARI-PA","Apollo Commercial Real Estate Finance",24.95,NA,NA,NA,NA,"NYSE"
"ARL","American Realty Investors, Inc.",5.21,"$80.83M",NA,"Finance","Real Estate","NYSE"
"ARMK","Aramark",33.25,"$8.04B",2013,"Consumer Services","Restaurants","NYSE"
"ARO","Aeropostale Inc",0.2243,"$17.94M",2002,"Consumer Services","Clothing/Shoe/Accessory Stores","NYSE"
"AROC","Archrock, Inc.",7.29,"$507.61M",NA,"Technology","Diversified Commercial Services","NYSE"
"ARP","Atlas Resource Partners, L.P.",0.79,"$80.91M",2005,"Energy","Oil & Gas Production","NYSE"
"ARP-PD","Atlas Resource Partners, L.P.",4.25,NA,NA,NA,NA,"NYSE"
"ARP-PE","Atlas Resource Partners, L.P.",5.59,NA,NA,NA,NA,"NYSE"
"ARR","ARMOUR Residential REIT, Inc.",21.72,"$796.74M",NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"ARR-PA","ARMOUR Residential REIT, Inc.",22.9899,NA,NA,NA,NA,"NYSE"
"ARR-PB","ARMOUR Residential REIT, Inc.",20.8,NA,NA,NA,NA,"NYSE"
"ARU","Ares Capital Corporation",25.54,NA,NA,NA,NA,"NYSE"
"ARW","Arrow Electronics, Inc.",63.26,"$5.75B",NA,"Consumer Non-Durables","Electronic Components","NYSE"
"ASA","ASA Gold and Precious Metals Limited",11.33,"$218.55M",NA,NA,NA,"NYSE"
"ASB","Associated Banc-Corp",16.53,"$2.47B",NA,"Finance","Major Banks","NYSE"
"ASB-PB","Associated Banc-Corp",25.8,NA,NA,NA,NA,"NYSE"
"ASB-PC","Associated Banc-Corp",25.66,NA,NA,NA,NA,"NYSE"
"ASC","Ardmore Shipping Corporation",8.29,"$216.45M",2013,"Transportation","Marine Transportation","NYSE"
"ASG","Liberty All-Star Growth Fund, Inc.",4.04,"$93.63M",NA,NA,NA,"NYSE"
"ASGN","On Assignment, Inc.",35.76,"$1.9B",1992,"Technology","Professional Services","NYSE"
"ASH","Ashland Inc.",109.1,"$6.9B",NA,"Consumer Durables","Specialty Chemicals","NYSE"
"ASPN","Aspen Aerogels, Inc.",4.23,"$98.07M",2014,"Consumer Services","RETAIL: Building Materials","NYSE"
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V.",146.9,"$4.41B",NA,"Transportation","Aerospace","NYSE"
"ASX","Advanced Semiconductor Engineering, Inc.",5.52,"$8.56B",NA,"Technology","Semiconductors","NYSE"
"AT","Atlantic Power Corporation",2.45,"$298.68M",NA,"Energy","Electric Utilities: Central","NYSE"
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS",8.82,"$1.54B",NA,"Technology","Semiconductors","NYSE"
"ATEN","A10 Networks, Inc.",5.74,"$369.13M",2014,"Technology","Computer Communications Equipment","NYSE"
"ATHM","Autohome Inc.",30.07,"$3.4B",2013,"Technology","EDP Services","NYSE"
"ATI","Allegheny Technologies Incorporated",15.12,"$1.65B",NA,"Basic Industries","Steel/Iron Ore","NYSE"
"ATO","Atmos Energy Corporation",74.19,"$7.58B",NA,"Public Utilities","Oil/Gas Transmission","NYSE"
"ATR","AptarGroup, Inc.",77.36,"$4.86B",NA,"Consumer Non-Durables","Plastic Products","NYSE"
"ATTO","Atento S.A.",7.73,"$569.08M",2014,"Public Utilities","Telecommunications Equipment","NYSE"
"ATU","Actuant Corporation",24.22,"$1.43B",NA,"Technology","Industrial Machinery/Components","NYSE"
"ATV","Acorn International, Inc.",4.7,"$2.93M",2007,"Consumer Services","Other Specialty Stores","NYSE"
"ATW","Atwood Oceanics, Inc.",7.94,"$514.27M",NA,"Energy","Oil & Gas Production","NYSE"
"AU","AngloGold Ashanti Limited",14.56,"$5.86B",NA,"Basic Industries","Precious Metals","NYSE"
"AUO","AU Optronics Corp",2.94,"$2.83B",2002,"Technology","Semiconductors","NYSE"
"AUY","Yamana Gold Inc.",3.59,"$3.4B",NA,"Basic Industries","Precious Metals","NYSE"
"AV","Aviva plc",12.15,"$24.59B",NA,"Finance","Life Insurance","NYSE"
"AVA","Avista Corporation",40.21,"$2.51B",NA,"Public Utilities","Power Generation","NYSE"
"AVAL","Grupo Aval Acciones y Valores S.A.",7.53,"$8.39B",2014,"Finance","Commercial Banks","NYSE"
"AVB","AvalonBay Communities, Inc.",189.2,"$25.92B",NA,"Consumer Services","Real Estate Investment Trusts","NYSE"
"AVD","American Vanguard Corporation",15.55,"$454.29M",NA,"Basic Industries","Agricultural Chemicals","NYSE"
"AVG","AVG Technologies N.V.",20.11,"$1.05B",2012,"Technology","Computer Software: Prepackaged Software","NYSE"
"AVH","Avianca Holdings S.A.",5.13,"$639.32M",2013,"Transportation","Air Freight/Delivery Services","NYSE"
"AVK","Advent Claymore Convertible Securities and Income Fund",13.27,"$312.92M",2003,NA,NA,"NYSE"
"AVP","Avon Products, Inc.",4.52,"$1.97B",NA,"Consumer Non-Durables","Package Goods/Cosmetics","NYSE"
"AVT","Avnet, Inc.",43.48,"$5.71B",NA,"Consumer Non-Durables","Electronic Components","NYSE"
"AVV","Aviva plc",26.44,NA,2011,"Finance","Life Insurance","NYSE"
"AVX","AVX Corporation",11.99,"$2.01B",NA,"Capital Goods","Electrical Products","NYSE"
"AVY","Avery Dennison Corporation",71.72,"$6.41B",NA,"Consumer Durables","Containers/Packaging","NYSE"
"AWF","Alliance World Dollar Government Fund II",11.59,"$997.58M",1993,NA,NA,"NYSE"
"AWH","Allied World Assurance Company Holdings, AG",34.82,"$3.15B",2006,"Finance","Property-Casualty Insurers","NYSE"
"AWI","Armstrong World Industries Inc",41.62,"$2.31B",NA,"Consumer Non-Durables","Plastic Products","NYSE"
"AWK","American Water Works",70.38,"$12.53B",2008,"Public Utilities","Water Supply","NYSE"
